,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
merel,blackbird,1,2,2,2,4,4,4,5,5,5,6,7,7,7,7,7,7,7,7,7,5,6,5,5,7,7,5,5,5,6,6,2,6,2,3,,,,0,35,5.09,1.85
mus,sparrow,2,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,6,6,7,6,7,5,7,7,7,5,6,5,6,6,6,,,,,,0,33,5.91,1.10
ooievaar,stork,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,5,5,7,7,5,2,7,7,,,,,,0,33,6.30,1.10
papegaai,parrot,4,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,6,7,6,6,7,,,,,,,0,32,6.56,0.76
parkiet,parakeet,2,3,4,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,6,3,7,4,5,4,5,6,7,5,,,,,,,0,32,5.72,1.42
pauw,peacock,2,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,4,7,5,7,6,6,6,6,7,6,6,6,7,6,6,5,,,,,0,34,6.21,1.04
pelikaan,pelican,3,4,4,5,5,6,6,6,6,6,7,7,7,7,7,X,X,4,4,4,4,5,7,4,6,6,3,7,7,7,2,4,5,3,1,6,,,2,34,5.15,1.65
pinguïn,penguin,3,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,5,6,7,7,7,7,,,,,,,,0,31,6.45,0.99
reiger,heron,2,2,2,3,4,4,5,5,5,6,6,7,7,7,7,6,7,4,7,7,5,5,7,6,7,5,6,1,7,5,,,,,,,,,0,30,5.23,1.79
roodborstje,robin,3,4,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,5,7,5,6,7,3,3,7,3,7,7,7,6,,,,,,0,33,5.88,1.39
specht,woodpecker,1,2,3,3,4,4,4,5,5,6,6,6,6,6,6,6,7,7,7,7,6,6,4,6,6,6,6,4,4,5,4,7,6,,,,,,0,33,5.18,1.51
struisvogel,ostrich,3,3,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,6,7,7,6,,,,,,,,,0,30,6.40,1.07
uil,owl,4,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,4,6,6,7,7,3,7,5,,,,,,,,,0,30,6.33,1.06
valk,falcon,2,2,3,3,3,4,4,4,5,5,5,6,7,7,7,7,7,2,4,7,2,7,7,5,5,3,7,4,7,6,7,3,,,,,,,0,32,4.91,1.86
zwaan,swan,2,3,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,X,7,7,6,7,7,7,7,7,6,7,6,7,7,6,,,,,,1,32,6.38,1.18
zwaluw,swallow,2,2,3,4,4,4,5,5,5,6,6,7,7,7,7,3,4,7,4,7,5,7,5,6,6,7,7,7,4,7,,,,,,,,,0,30,5.33,1.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
