,feature/ exemplar ENGLISH,,viper,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
heeft een lange tong,has a long tongue,30,3,0,3,3,0,1,1,2,0,3,2,0,2,2,3,1,0,3,1,0
heeft een schild,has a shield,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
heeft een staart,has a tail,33,1,4,1,1,4,4,4,1,4,4,0,4,4,0,1,4,1,1,4,1
heeft een tong,has a tongue,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
heeft felle kleuren,has bright colours,5,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,1,0,1,0,0
heeft geen poten,has no paws,23,4,0,4,4,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0
heeft gespleten tong,has a split tongue,26,4,0,4,4,0,0,1,2,0,1,0,0,1,1,4,1,0,4,1,0
heeft giftanden,has poison fangs,7,4,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0
heeft grote ogen,has large eyes,9,0,3,0,0,1,2,1,0,3,2,2,3,2,2,0,2,1,0,3,2
heeft grote tanden,has large theeth,9,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
heeft klauwen,has claws,8,0,3,0,0,3,3,3,0,3,3,0,3,3,0,0,2,2,0,3,2
heeft kleine oogjes,has little eyes,5,4,0,3,4,0,2,3,3,0,2,2,0,2,2,2,3,2,3,2,2
heeft korte poten,has short paws,15,0,4,0,0,0,4,4,0,4,3,2,4,3,2,0,3,4,0,3,4
heeft ogen,has eyes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
heeft poten,has legs,8,0,4,0,0,4,4,4,0,4,4,4,4,4,4,0,4,4,0,4,4
heeft scherpe nagels,has sharp claws,6,0,3,0,0,3,4,4,0,3,3,0,3,4,0,0,2,2,0,4,2
heeft scherpe tanden,has sharp teeth,31,2,4,2,3,3,2,1,1,4,0,0,4,1,0,2,1,0,3,2,0
heeft schubben,has scales,72,3,4,3,3,2,4,4,3,4,4,0,4,4,0,3,2,0,3,4,0
heeft schutkleur,has camouflage,12,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3
heeft tanden,has teeth,6,4,4,3,4,4,3,3,1,3,2,0,4,3,0,3,2,2,4,3,2
heeft veel tanden,has many teeth,6,1,4,1,1,3,1,1,0,3,1,0,4,1,0,1,1,1,1,1,1
heeft vele kleuren,has many colours,6,1,0,0,1,1,2,1,0,0,4,1,0,2,0,0,2,1,2,0,1
heeft veren,has feathers,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft vier poten,has four paws,59,0,4,0,0,4,4,4,0,4,4,4,4,4,4,0,4,4,0,4,4
heeft wratten,has warts,5,0,1,0,0,0,0,0,0,1,0,2,1,0,3,0,0,0,0,1,0
het is rond,is round,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,3
hoofdrolspelers in Jurassic Parc,leading figures in Jurassic Parc,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in aquarium,swims in aquariums,10,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,4
in terrarium,in a terrarium,4,4,2,3,4,0,3,4,2,2,3,1,2,3,1,3,3,1,4,2,0
is akelig,is grisly,7,4,4,4,4,3,2,2,4,4,2,2,4,2,2,4,2,2,4,3,2
is bruin,is brown,22,4,1,1,1,4,2,4,3,2,0,0,2,2,4,1,2,0,2,3,0
is dik,is thik,8,0,3,2,0,3,1,0,0,3,0,1,3,1,2,3,0,1,0,0,2
is een amfibie,is an amphibian,35,0,1,0,0,0,0,0,0,1,0,3,1,0,3,0,2,1,0,0,1
is een dier,is an animal,73,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
is een exotisch dier,is an exotic animal,8,2,4,4,4,0,4,0,0,4,4,0,4,4,0,4,0,2,4,3,3
is een huisdier,is a pet,43,1,1,2,2,0,3,2,1,1,3,2,1,2,1,2,1,3,3,1,4
is een roofdier,is an animal of prey,15,3,3,3,3,3,3,2,3,3,2,2,3,2,2,3,2,1,3,2,1
is een vleeseter,is a carnivore,21,4,4,4,4,4,4,3,4,4,3,2,4,3,2,4,3,2,4,3,2
is eerst kikkervisje,is first a tadpole,7,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,2,0,0,0,0
is eetbaar,is edible,16,1,1,2,1,0,1,1,1,1,1,4,3,1,1,1,1,2,3,1,2
is giftig,is poisonous,34,4,0,1,4,0,0,0,0,0,0,1,0,0,1,2,0,0,3,0,0
is glad,is smooth,9,2,0,2,2,0,0,0,2,0,0,3,0,0,3,2,2,0,2,0,0
is glibberig,is slippery,36,2,0,1,1,0,0,0,3,0,0,4,0,0,4,1,2,0,1,0,0
is grappig,is funny,9,1,1,1,2,2,2,1,2,1,4,1,1,1,1,1,1,1,1,2,1
is groen,is green,129,2,3,1,2,3,3,3,0,3,2,4,3,3,2,2,2,3,2,3,4
is groen-bruin,is green-brown,45,3,3,3,2,4,4,4,2,4,3,4,4,4,4,3,3,3,3,4,3
is groot,is big,59,1,4,4,3,4,1,1,0,4,1,0,4,2,0,4,1,1,2,4,2
is klein,is small,43,2,0,0,0,0,3,3,4,0,1,4,0,1,4,0,3,1,0,0,1
is lang,is long,50,2,4,4,3,3,1,1,2,4,1,0,4,1,0,4,1,0,3,2,0
is langwerpig,is elongated,8,4,3,4,4,1,2,3,4,3,2,0,3,2,0,4,3,0,4,2,0
is lelijk,is ugly,13,2,2,1,2,2,1,1,3,2,1,1,2,1,2,1,1,1,2,2,1
is mooi,is beautiful,5,0,0,1,0,0,2,1,0,0,2,2,0,1,0,1,1,2,1,0,2
is niet gevaarlijk,is not dangerous,6,1,0,0,0,1,3,3,4,1,2,3,1,2,3,1,2,3,1,2,3
is niet giftig,is not poisonous,4,1,4,2,0,4,4,4,4,4,4,2,4,4,2,2,4,4,0,4,4
is ook een sjaal,is also a sharp,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is smal,is small,4,3,0,2,3,0,0,1,3,0,0,0,0,0,0,2,2,0,2,0,0
is snel,is fast,39,4,3,1,3,2,3,4,1,3,2,2,3,2,1,0,4,0,3,2,0
is sterk,is strong,13,0,4,4,2,4,1,1,0,4,1,0,4,2,0,4,1,2,2,2,2
is traag,is slow,36,0,0,1,0,1,0,0,2,0,1,1,0,1,1,2,0,4,0,1,3
is vies,is nasty,20,2,2,1,2,2,1,1,3,2,1,1,2,2,2,1,1,1,1,2,1
jaagt mensen schrik aan,frightens people,10,4,4,4,4,3,1,1,1,4,1,1,4,1,1,4,1,1,4,2,1
je vindt ze vaak onder stenen,is often found under rocks,5,4,0,0,2,0,1,4,1,0,0,0,0,1,0,0,1,0,2,1,0
kan giftig zijn,can be poisonous,20,4,0,1,4,0,0,0,0,0,0,2,0,0,2,2,0,0,4,0,0
kan goed klimmen,can climb well,4,2,0,3,1,0,4,4,1,0,3,1,0,4,0,3,2,0,3,3,0
kan lang zonder eten,can live for a long time without food,4,2,2,2,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1
kan mensen opeten,can eat people,4,0,4,1,0,2,0,0,0,4,0,0,4,0,0,2,0,0,1,0,0
kan staart verliezen,can loose its tail,10,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0
kan tegen een muur opklimmen,can climb up a wall,7,0,0,0,0,0,2,4,0,0,2,1,0,3,1,0,2,0,0,1,0
kan verschillende kleuren hebben,can have different colors,15,3,1,3,3,2,3,2,1,1,4,4,1,2,2,3,3,1,4,4,0
kan zeer oud worden,can live to a ripe old age,16,0,3,0,0,4,0,0,0,3,0,0,4,0,0,1,0,4,0,1,4
kan zwemmen,can swim,29,1,4,0,0,0,1,0,0,3,0,3,4,1,3,1,2,0,2,1,4
klein kopje,has a small head,4,4,0,3,3,0,1,2,4,0,1,1,0,0,1,3,3,4,4,0,2
kleine en grote soorten,small and large kinds,15,3,3,3,3,4,3,3,2,3,2,2,3,3,2,2,2,4,4,2,3
komen soms voor in films,occasionally occurs in films,6,0,1,0,2,4,0,0,0,1,0,0,2,0,0,1,0,1,1,0,1
komt boven in de regen,comes up when it rains,4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
komt voor in belgië,is found in Belgium,4,3,0,0,0,0,0,4,4,0,0,4,0,0,4,0,4,2,2,0,1
komt voor in reclame of als merk,is found in advertising or as brand ,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
komt voor in sprookjes en verhalen,appears in fairy tales and stories,5,0,0,0,0,1,0,0,0,0,0,4,1,0,2,0,0,1,3,0,0
koudbloedig,is cold-blooded,22,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4
kronkelt,writhes (twists),13,4,0,4,4,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0
kruipt,crawls,36,4,3,4,4,0,3,3,4,3,3,1,2,3,1,4,2,3,4,3,2
kruipt in schild bij gevaar,turns in its shell in danger,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
kwaakt,quacks,27,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0
"lange achterpoten, korte voorpoten","long hind legs, short forelegs",5,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
leeft alleen,live alone,5,3,1,3,3,0,1,1,3,1,3,0,1,2,1,2,0,2,2,2,2
leeft bij vijvers,lives nearby ponds,9,0,3,0,0,0,0,0,0,3,0,4,3,0,3,0,2,0,0,0,3
leeft bij water,lives nearby the water,6,0,4,0,0,0,0,0,1,4,0,4,4,0,4,0,2,1,0,0,4
leeft door als je hem in twee snijdt,lives on when split in half,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
leeft in afrika,lives in Africa,6,2,4,4,4,0,4,4,1,4,4,4,4,4,4,4,4,4,4,4,3
leeft in bomen,lives in trees,8,1,0,4,1,0,3,1,0,0,3,0,0,3,0,4,0,0,2,1,0
leeft in de jungle,lives in the jungle,19,1,3,4,2,1,4,2,1,4,4,3,4,3,3,4,3,2,4,2,2
leeft in de zee,lives in the sea,6,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,3
leeft in de zoo,lives in the zoo,23,4,4,4,4,0,4,3,2,4,4,3,4,4,2,4,3,3,4,3,3
leeft in droge gebieden,lives in dry areas,4,2,0,1,3,1,1,3,0,0,1,0,0,2,0,1,2,0,3,3,0
leeft in een moeras,lives in a swamp,8,1,4,1,0,0,0,0,0,4,0,4,4,0,4,1,2,1,1,0,1
leeft in het bos,lives in the woods,15,2,1,3,1,0,2,2,2,1,2,2,1,1,2,3,1,1,3,0,0
leeft in tropische gebieden,lives in tropical areas,19,1,4,4,3,1,4,2,1,4,4,3,4,3,3,4,3,3,4,3,4
leeft in warme landen,lives in warm countries,42,2,4,4,4,0,4,2,2,4,4,2,4,4,2,4,2,3,3,4,3
leeft in water,lives in water,36,0,4,0,0,0,0,0,0,3,0,4,4,0,3,0,2,0,0,0,4
leeft in woestijn,lives in the desert,16,3,0,1,3,0,2,4,0,0,1,0,0,2,0,1,2,0,3,3,0
leeft niet bij ons,doesn't live in our country,19,1,3,3,3,3,3,0,0,3,3,1,3,3,1,3,0,3,1,3,4
leeft onder de grond,lives under the ground,9,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0
leeft op de grond,lives on the ground,6,4,2,2,4,4,3,4,4,2,2,2,2,3,4,3,2,4,4,4,2
leeft op het land,lives on land  ,14,4,2,4,4,4,4,4,4,2,4,3,2,4,4,4,2,4,4,4,1
leeft op het land en in het water,lives on land and sea,31,0,4,0,0,0,0,0,0,3,0,4,4,0,3,0,0,2,1,0,2
leeft waar het vochtig is,lives in a damp climate,8,0,2,0,0,0,0,0,0,4,0,4,4,0,4,0,2,2,0,0,4
leggen eieren in zand,lays eggs in sand,8,4,4,4,4,2,4,4,3,4,2,1,4,4,1,4,2,4,4,4,2
legt eieren,lays eggs,50,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,4,4,4,4
legt grote eieren,lays big eggs,5,0,3,1,0,4,0,0,0,3,0,0,3,1,0,1,0,1,0,1,1
legt kikkerdril,lays frogspawn,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0
ligt bewegingsloos in het water,lies motionless in the water,6,0,4,0,0,0,0,0,0,4,0,2,4,0,0,0,1,1,0,0,1
lijkt op een kikker,looks like a frog,4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0
lijkt op een salamander,looks like a salamander,5,0,0,0,0,0,3,3,0,0,1,0,0,2,0,0,3,0,0,2,0
lijkt op hagedis,looks like a lizard,9,0,0,0,0,0,4,4,0,0,2,0,0,2,0,0,3,0,0,3,0
lijkt op krokodil,looks like a crocodile,7,0,4,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
maakt niet veel geluid,makes not much noise,5,4,3,4,4,0,3,4,4,3,4,0,3,3,1,4,4,4,4,3,4
maakt sissend geluid,makes a hissing noise,37,4,0,4,4,0,0,0,0,0,0,0,0,1,0,4,0,0,4,1,0
maakt veel lawaai,makes a lot of clamor,4,0,1,0,0,3,1,0,0,1,0,3,1,0,2,0,0,0,0,1,0
niet lekker,does not taste well,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
onopvallend,is inconspicious,11,4,3,3,4,0,3,4,4,3,4,4,3,3,4,3,3,2,4,3,2
past kleur aan aan omgeving,takes on the colour of its surroundings,35,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
platte kop,has a flat head,4,3,3,3,3,2,3,3,3,3,2,2,3,2,2,3,3,3,3,2,3
prehistorisch dier,prehistoric animal,11,0,2,0,0,4,0,1,0,2,0,0,2,0,0,0,0,1,0,2,1
reptiel,is a reptile,127,4,4,4,4,3,4,4,4,4,4,2,4,4,3,4,2,3,4,4,4
ringen,has rings,5,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ruw,rough,5,0,4,0,0,3,3,3,0,4,2,0,4,3,0,0,2,1,0,3,1
ruwe huid,has a rough skin,9,0,4,0,0,3,3,3,0,4,2,0,4,2,0,0,2,1,0,3,1
schattig indien klein,is cute when it's young,4,2,3,2,2,3,3,2,2,3,2,3,3,3,3,2,3,4,2,3,4
schuw,shy,6,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
skeletten in musea,skeletons in museum,6,0,2,0,0,4,0,1,0,2,0,1,2,0,0,1,0,0,0,0,1
slijmerig,is slimy,8,1,0,1,1,0,0,0,1,0,0,4,0,0,4,1,2,0,1,0,0
slikt zijn prooi in zijn geheel in,swallows its prey in its entirety,9,2,1,4,3,0,0,0,1,1,0,2,1,0,2,4,2,0,3,0,0
soort alligator,kind of alligator,4,0,3,0,0,0,0,0,0,4,0,0,4,0,0,1,0,0,0,0,0
soort hagedis,kind of lizard,14,0,0,0,0,0,4,3,0,0,1,0,0,2,0,0,2,0,0,3,0
soort kikker,kind of frog,5,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0
soort slang,kind of snake,53,4,0,4,4,0,0,0,2,0,0,0,0,0,0,4,0,0,3,0,0
soort van krokodil,kind of crocodile,14,0,4,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
springt,jumps,28,0,1,0,0,1,1,1,0,1,1,4,1,1,4,0,1,0,0,1,0
stamt af van de dinosauriërs,descend from the dinosaur,5,0,2,0,0,3,2,2,0,2,2,0,2,2,0,0,1,2,0,3,0
stinkt,stinks,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
uitgestorven,is extinct,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vaak overreden door auto's,often run over by cars,7,1,0,0,0,0,1,1,0,0,0,4,0,0,4,0,1,1,0,0,0
verre landen,lives in distant countries,4,2,4,4,4,0,4,1,1,4,4,1,4,4,1,4,1,2,2,4,4
verstopt zich gemakkelijk,hides easily,6,4,2,1,2,0,2,4,4,2,3,3,2,1,3,2,2,0,3,0,0
vervelt,sheds its skin,24,4,0,4,4,1,1,1,2,0,1,0,0,1,0,4,0,0,4,1,0
vleeseters en planteneters,is a carnivore and herbivore,11,0,0,0,0,4,2,1,1,0,1,1,0,1,1,0,1,3,0,1,2
voelt zacht aan,feels soft,4,3,0,2,2,0,1,0,3,0,1,3,0,0,3,2,1,1,2,0,1
wild dier,wild animal,6,2,4,4,4,2,2,2,2,4,2,2,4,2,2,4,2,2,4,2,2
wordt gegeten door vogels,is eaten by birds,9,1,0,1,1,0,1,2,2,0,0,4,0,0,4,0,2,0,2,0,0
wordt soms in een mand gestoken,it is sometimes put in a basket,4,1,0,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0
wurgt zijn prooi,strangles its prey,23,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0
zeldzaam,is rare,7,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2
zijn te vinden in de Ardennen,can be found in the ardennes,4,3,0,0,0,0,0,4,4,0,0,4,0,0,4,0,4,1,1,0,0
zwaar,heavy,5,0,4,4,1,4,0,0,0,4,0,0,4,1,0,3,0,3,2,2,4
