kan opgevuld worden,can be filled up,1,2,-2,1,1,2,-3,3,1,1,-3,-3
kan praten,can talk,2,0,-2,1,-1,1,-3,0,-1,1,-3,-3
kan slecht vliegen,is not good at flying,3,0,-1,1,-2,0,-3,-3,-3,-2,-3,0
kan staart openzetten,can open its tail,3,1,-2,1,-1,2,-3,2,1,1,-3,-3
kan verschillende kleuren hebben,can have different colors,-1,3,2,1,2,-3,3,3,2,3,3,-2
kan vliegen,can fly,2,3,2,2,3,3,3,3,3,3,3,3
kan worden gekweekt,can be bred,2,1,-1,1,1,-1,0,3,1,1,0,-1
kan zijn kop heel ver draaien,can turn his head very far,1,1,2,0,2,1,-3,3,2,1,1,-2
kan zwemmen,can swim,2,1,-2,0,-2,-1,-3,0,-2,-2,1,-2
kleine snavel,has a small bill,3,2,-1,1,-3,1,-3,0,1,3,1,1
koekoeksklok,is in a cuckoo clock,1,1,-2,1,0,3,-3,-3,2,-3,-3,-3
komt veel voor,occurs frequently,2,3,3,1,3,-3,-3,3,3,3,2,-1
komt voor in belgië,is found in Belgium,-1,1,3,0,-1,1,-3,3,-2,2,0,-3
komt voor in de tuin,is found in the garden,2,3,1,2,2,0,-2,3,1,3,2,-2
komt voor in liedjes,appears in songs,0,-3,1,0,-1,-3,-3,2,-2,-1,-3,-3
komt voor in reclame of als merk,is found in advertising or as brand ,1,1,-3,-2,0,-3,-3,-3,0,-3,-3,-3
komt voor in sprookjes en verhalen,appears in fairy tales and stories,0,1,0,0,2,1,-2,2,0,1,-3,-2
kraait,crows,1,3,-2,2,2,2,-3,1,1,1,1,-3
kraait 's morgens, in the morning,1,1,-2,2,-2,3,-3,1,1,1,-3,0
kraaloogjes,has beady eyes,3,3,1,3,1,-2,-3,-3,1,2,2,-2
krijgt kuikens,has peepers,3,3,-2,2,2,3,1,2,2,2,3,1
kwaakt,quacks,1,1,-1,1,-1,2,-3,-3,1,-1,-2,-3
lange snavel,has a long bill,3,2,-2,3,1,2,-3,1,1,1,0,1
leeft aan de zee,lives by the sea,1,1,-1,1,-1,1,-3,0,1,1,-2,-3
leeft alleen,live alone,1,1,-3,-2,-1,-2,-3,0,0,1,0,-3
leeft in afrika,lives in Africa,1,1,1,1,-2,-3,-3,3,1,1,-3,-3
leeft in bomen,lives in trees,3,1,1,2,2,1,-3,1,2,3,2,1
leeft in de bergen,live in the mountains,1,0,-1,-2,-1,0,-3,-3,1,-1,-3,-3
leeft in de natuur,lives in nature,2,3,2,2,3,-3,2,3,2,3,3,1
leeft in de zoo,lives in the zoo,0,2,0,2,0,-3,-3,3,0,2,1,-3
leeft in Europa,lives in Europe,1,2,1,0,2,0,-3,3,-1,1,0,-3
leeft in groep,herds,2,2,2,2,1,0,-1,0,1,1,1,0
leeft in het bos,lives in the woods,3,1,1,2,3,1,-2,-3,1,3,0,1
leeft in het wild,lives in the wild,2,2,0,1,1,-2,-3,3,2,3,3,1
leeft in koude gebieden,lives in cold areas,1,1,-2,-1,-1,-3,-3,0,-2,0,-3,-3
leeft in tropische gebieden,lives in tropical areas,1,1,0,0,1,-3,-3,0,0,1,-3,-3
leeft in velden,lives in fields,2,1,-1,2,-1,2,-3,0,1,1,1,-3
leeft in warme landen,lives in warm countries,2,0,2,0,1,-3,-2,-3,2,1,-1,-3
leeft in water,lives in water,2,1,-1,-2,-1,-2,0,-2,-1,-1,1,-3
leeft niet in België,does not live in Belgium,1,-3,0,1,-1,-3,-3,-3,-2,-3,-3,-3
leeft ook in de stad,also lives in the city,1,2,1,0,1,-3,-1,3,0,1,1,0
leeft op de boerderij,lives on a farm,1,-3,-1,0,1,-2,-3,2,1,1,2,-3
leeft op het land,lives on land  ,2,1,1,0,1,1,-3,0,0,-1,1,-2
leeft soms in kerktorens,sometimes lives in church towers ,1,1,-2,1,1,2,-1,1,0,1,-3,-2
leeft tussen de mensen,lives among human beings,2,1,-3,0,-2,1,-3,0,1,0,0,0
leeft vooral aan de kust,especially lives at the coast,1,0,-2,0,0,1,-3,-3,1,0,-3,-2
legt eieren,lays eggs,3,3,2,2,3,1,3,3,3,3,3,2
legt eieren in het nest van andere vogels,lays eggs in the nests of other birds,1,1,-1,1,-1,-1,-3,0,2,1,-3,-3
legt geen eieren,does not lay eggs,2,0,-2,1,-2,-2,-3,-3,-2,-3,-3,-3
legt grote eieren,lays big eggs,1,1,-2,0,1,0,-3,-2,-2,1,-3,1
lijkt gemeen,seems mean,-1,0,-3,-2,0,-3,-3,-3,-3,-2,-3,-2
maakt een koerend geluid,makes a 'coo' sound,1,3,-1,1,-1,1,-3,0,-1,1,-1,0
maakt een 'oehoe'-geluid,makes an 'oehoe' sound,1,1,-2,3,1,3,-3,1,1,1,-3,-3
maakt gaten in bomen,makes holes in trees,2,0,-2,2,0,3,-3,-3,2,1,-3,0
maakt geluid,makes a sound,1,3,2,1,3,-3,2,3,2,3,3,1
maakt heel vervelend geluid,makes an extremely irritating sound,1,-3,0,1,-1,2,-3,0,1,1,0,0
maakt herkenbaar geluid,makes a recognizable sound,2,1,2,1,2,-2,1,3,2,2,-2,-1
maakt nesten op grote hoogte,builds nests at high altitude,3,1,2,2,-1,3,-3,1,2,3,1,0
maakt scherp geluid,makes a sharp sound,-1,0,2,1,2,1,-3,1,2,1,2,0
maakt veel lawaai,makes a lot of clamor,1,-2,1,0,2,-3,-3,1,1,1,1,0
maakt veel vuil,is messy,-2,1,0,-2,-1,-3,-3,-1,-1,-2,-3,-2
maakt vreemd geluid,makes a strange noise,1,1,0,1,0,-3,1,0,1,0,0,0
maakt wakker,wakes up,1,1,0,1,2,-1,-3,3,1,1,1,1
mannelijke kip,is a male chicken,1,1,-2,1,-2,2,-3,3,1,0,-3,-3
mannetje- verschillende kleuren,the male occurs in different colours,1,3,0,2,-1,2,-3,1,0,2,1,-3
meestal bruin-grijze kleur,is mostly grey brown,-2,0,1,0,-1,-3,-3,1,-2,1,2,-3
meisjesnaam,is a girl's name,1,1,0,0,2,-3,-3,-3,-1,-3,-3,-3
middelgroot,is medium-sized,0,0,-1,1,2,-3,-3,0,-1,1,1,-2
mooie kleuren,beautiful colours,2,1,1,1,2,-3,-3,0,1,2,1,-2
nachtdier,nocturnal animal,1,1,-2,0,0,-3,-3,0,-2,0,0,-2
opbergsnavel,can store food in its bill,1,2,0,2,0,0,-3,-3,1,0,0,-2
oranje snavel,has an orange bill,3,1,-2,1,-2,3,-3,0,2,1,1,-2
pikt,pecks,1,-1,1,2,2,-3,-3,2,1,1,3,1
poolgebieden,lives in the polar regions,1,1,-1,0,0,-2,-3,-3,1,-2,-3,-3
rood,is red,0,-3,-2,-1,-2,-3,-3,-1,-2,0,-3,-3
scherp zicht,has a sharp view,2,3,2,1,2,0,-3,0,2,1,1,-2
sierlijk,graceful,1,0,2,0,2,-3,-3,0,1,2,-1,-3
slaapt op een stok,sleeps on a stick,3,2,-2,2,-1,3,-3,1,1,2,-2,1
snatert,gabbles,1,2,0,2,2,-2,-3,1,0,3,-3,-3
springt,jumps,1,1,0,-2,0,-1,-3,2,2,1,2,-2
staart open bij angst,opens its tail when it is scared,2,-1,-2,-2,-1,2,-3,0,1,1,-3,-3
staat soms op 1 poot,sometimes stands on one paw,2,3,-2,1,0,1,-3,2,1,1,-2,-3
steekt kop in grond,sticks its head into the ground,3,0,-2,2,-2,0,-3,0,1,0,-3,-3
stinkt,stinks,0,1,-3,0,-1,-3,-3,-3,-2,-2,-3,-3
stripverhaal,appears in comics,0,0,0,0,1,-3,-3,-3,-1,-2,-3,-3
tekenfilmfiguur,cartoon figure,0,-1,1,1,3,-3,-3,2,1,0,-3,-3
tok tok' als geluid,makes a 'tok tok' sound,1,1,-2,1,-1,-2,-3,2,1,1,-2,-3
tokt op boom,clucks on trees,1,1,-2,2,0,2,-3,1,2,1,-2,0
trekt niet weg in de winter,does not migrate in the winter,2,0,-2,0,-1,1,-3,-3,2,1,-3,-2
trots,is proud,-2,1,-1,-1,0,-3,-3,0,-1,1,-3,-2
tsjilpt,chirps,1,2,1,1,2,3,-3,1,2,2,2,2
vaak losgelaten na trouw (huwelijksmis),is often released after a wedding,1,1,-2,-2,0,-3,-3,3,2,1,-3,-3
vaak stilzittend,often sits still,0,1,-3,0,1,1,-3,0,1,-2,1,0
vliegt hoog,flies high,3,2,1,2,2,3,-3,1,1,2,1,-1
vliegt in V-formatie,flies in formation,1,2,2,2,2,1,2,3,2,1,-2,0
vogel,is a bird,3,3,3,3,3,3,3,3,3,3,3,3
vooral op platte land,especially lives in the country,2,1,-1,1,-2,0,-3,0,3,2,2,-3
vooral te zien in de winter,especially occurs in the winter,1,-2,-2,0,-1,-3,-3,0,-2,-2,-2,-2
vrouwtje is bruin,the female is brown,-2,2,-2,-3,-2,1,-3,1,-2,1,-1,-3
vrouwtje van de haan,is the female of the cock,1,1,-2,1,-2,-1,-3,-3,2,0,-3,-2
waggelt,waddles,1,1,0,-1,0,-3,-3,-1,2,0,-3,-2
werd vroeger voor post te bezorgen gebruikt,used to carry around mail,3,1,-2,3,1,2,-3,3,1,1,-3,-3
worden vechtkampen mee georganiseerd,is used in fights,1,1,-2,-3,-1,-3,-3,0,1,-1,-3,-3
wordt gebruikt in shows,is used in shows,2,1,-2,0,-2,-3,-3,0,0,-2,-2,-3
wordt gegeten met Kerstmis,is eaten when it's Christmas,1,1,-2,-2,0,1,-3,1,1,1,-3,-2
