,feature/ exemplar ENGLISH,,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,slingshot,club,machine gun,pistol,shield,spear,stick,tank,rope,double barrelled shotgun,sword,whip
dient om je te beschermen,is used to protect you,40,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
dient om te boksen,is used to box,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dient om te gaan wandelen,used to go walking,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dient om te schieten,is used to shoot,112,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
dient om te snijden,is used to cut,5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
dient voor rond de vingers,can be found around your fingers,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaat snel,goes fast,4,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1
gebruikt buskruit,uses gunpowder,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
gebruikt door mannen,used by men,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gebruikt een vergunning,uses a license,23,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0
gebruikt om te klimmen,used to climb,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
geeft een knal,produces a bang,10,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0
geeft een terugslag,gives a recoil,6,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0
gemaakt uit hout,made of wood,97,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
gemaakt uit metaal,made of metal,74,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0
gemaakt uit plastic,made of plastic,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
gemaakt uit steen,made of stone,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemaakt uit vezels,made of fibres,5,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1
gemaakt van kunststof,made of synthetic material,4,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1
heeft een donkere kleur,has a dark color,6,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1
heeft een elastiek,has an elastic rubber,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
heeft een handvat,has a grip,47,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1
heeft een lemmet,has a blade,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
heeft een lont,has a fuse/taper,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
heeft een loop,has a barrel,17,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
heeft een negatieve connotatie,has a negative connotation,5,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1
heeft een pin,has a pin,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
heeft een punt,has a point,31,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
heeft een steel,has a handle,26,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
heeft een stok,has a stick,14,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
heeft een trekker,has a trigger,22,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
heeft een Y-vorm,has a Y-shape,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
heeft kanonkogels,has canonballs,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
heeft rupsbanden,has caterpillar treads,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
heeft wielen,has wheels,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
het is een voorwerp,is an object,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
het weegt niet veel,does not weigh much,4,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
hoort bij een harnas,belongs to a harnas,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
hoort bij een paard,belongs to a horse,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is agressief,is agressive,6,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0
is bloederig,is bloody,5,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
is bruin,is brown,38,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
is dik,is thick,7,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
is dun,is thin,9,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
is duur,is expensive,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is een geweer,is a gun,27,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
is een halve cirkel,is half a circle,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is een machtsmiddel,is a means of power,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
is een mes,is a knife,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
is een onderdeel van de schildpad,is part of the turtle,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
is een vervoersmiddel,is a means of transport ,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
is een verzamelobject,is a collector's item,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
is een voertuig,is a vehicle,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
is een werktuig,is a piece of equipment,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is geladen,is loaded,4,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
is gemaakt van een tak,is made of a branch,9,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
is gemaakt van staal,is made of steel,8,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0
is gereedschap,is a tool,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
is geurloos,is odourless,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
is gevaarlijk,is dangerous,108,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1
is gevlochten,is braided,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
is gewelddadig,is violent,11,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1
is grijs,is grey,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is groen,is green,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
is groot,is big,32,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
is handig,comes in very handy,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
is hard,is hard,33,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0
is illegaal,is illegal,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is kaki,has a khaki colour,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
is klein,is small,15,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
is kort,is short,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is koud,is cold,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
is krachtig,is powerful,4,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0
is krom,is bent,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
is lang,is long,37,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1
is langwerpig,is elongated,21,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0
is middeleeuws,is mediaeval,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
is niet eetbaar,is not edible,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
is niet voor kinderen,is not for children,5,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
is niet zomaar te koop,is not easy to come by,4,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0
is nuttig,is useful,6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
is ovaal,is oval,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
is primitief,is primitive,4,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
is rond,is round,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is scherp,is sharp,51,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
is smal,is narrow,8,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1
is sterk,is strong,22,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0
is te zien op tv,can be seen on television,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
is van de oertijd,is from the stone age,14,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
is van ijzer,is made of iron,44,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
is van leer,is made of leather,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
is van rubber,is made of rubber,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
is verboden,is forbidden,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is zilverkleurig,is silver-coloured,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
is zwaar,is heavy,72,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0
is zwart,is black,53,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
je kan er dingen mee vastbinden,you can tie things down with it,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
je kan er iemand mee doden,you can kill someone with it,112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
je kan er mee touwtrekken,you can play tug-of-war with it,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
je kan ermee spelen,you can play with it,8,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0
kan als verdediging werken,can work as defence,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kan als wapen gebruikt worden,can be used as weapon,138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kan breken,can break,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
kan een regenboog zijn,can be a rainbow,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kan je iemand mee bedreigen,can be used to threaten somebody,4,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0
kan je iemand mee slaan,can be used to hit somebody,40,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
kan je knopen,can be knotted,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kan je mee sjorren,can be used to lash,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
kan je zelf maken,can be manufactured by yourself,8,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
kan levens redden,can save lifes,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
kan ontploffen,can explode,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kan pijn doen,can hurt,52,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
kan schaden,can harm,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
kan versierd zijn,can be decorated,8,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
kan verwonden,can injure,28,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
komt voor in films,occurs in films,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
maakt lawaai,produces noise,22,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0
moet je op je schouder leggen,has to be put on your shoulder,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
staat op een kasteel,can be found on a castle,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vernielt,destroys,13,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0
veroorzaakt een explosie,causes explosion,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
vindt men in een bos,can be found in a forest,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
voelt ruw aan,feels rough,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
werd vroeger gebruikt,was used in the past,32,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
wordt gebruikt als decoratie,used as decoration,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
wordt gebruikt als speelgoed,used as a toy,19,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
wordt gebruikt bij baseball,used in baseball,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
wordt gebruikt bij paardrijden,used for horse riding,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wordt gebruikt bij sport,used in sports,19,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
wordt gebruikt door criminelen,used by criminals,8,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0
wordt gebruikt door Dennis The Menace,used by Dennis The Menace,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
wordt gebruikt door een agent,used by a police officer,5,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0
wordt gebruikt door een boef,used by crooks,4,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0
wordt gebruikt door een cowboy,used by cowboys,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1
wordt gebruikt door een hond,used by dogs,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wordt gebruikt door een houthakker,used by lumber jackers,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt gebruikt door indianen,used by indians,12,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
wordt gebruikt door jongens,used by boys,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
wordt gebruikt door piraten  ,used by pirates,6,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
wordt gebruikt door politie,used by police men,23,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0
wordt gebruikt door ridders,used by knights,28,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
wordt gebruikt door Robin Hood,used by Robin Hood,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
wordt gebruikt door soldaten,used by soldiers,19,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
wordt gebruikt in een gevecht,used in a fight,44,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
wordt gebruikt in het leger,used in the army,30,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
wordt gebruikt in spelletjes,used in games,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
wordt gebruikt met pijlen,used with arrows,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt gebruikt om bomen om te hakken,used to chop trees,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
wordt gebruikt om een overval te plegen,used for hold-ups,4,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0
wordt gebruikt om iets weg te schieten,used to launch something,8,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
wordt gebruikt om oorlog te voeren,used to make war,108,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
wordt gebruikt om te jagen,used to hunt,55,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
wordt gebruikt om te martelen,used for torturing,6,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
wordt gebruikt om te moorden,used for murding,35,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0
wordt gebruikt om te speerwerpen,used for spear trowing,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
wordt gebruikt om te steken,used for stabbing,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
wordt gebruikt om te straffen,used for punishing,10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
wordt gebruikt om te temmen,used for taming,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
wordt gebruikt voor SM,used for sado masochism,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
wordt gedragen door een bokser,worn by a boxer,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt gegooid,is thrown,20,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
wordt gemaakt van een boom,is made from a tree,9,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
wordt geslepen,used for grinding,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
wordt in de mond gestoken,is put in the mouth,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt niet veel gebruikt,not used much,4,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0
wordt weggegooid,is trown away,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
