,feature/ exemplar ENGLISH,,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,slingshot,club,machine gun,pistol,shield,spear,stick,tank,rope,double barrelled shotgun,sword,whip
feature / exemplar DUTCH,,freq,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
is hard,is hard,33,4,4,3,0,4,4,4,4,0,4,4,3,4,2,4,3,0,3,3,0
is illegaal,is illegal,6,4,0,2,0,3,3,3,2,0,0,3,3,0,0,0,3,0,2,1,0
is kaki,has a khaki colour,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0
is klein,is small,15,0,1,4,1,3,0,4,0,4,0,0,2,0,0,0,0,0,0,0,1
is kort,is short,8,0,0,2,0,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
is koud,is cold,9,1,0,0,0,1,1,1,2,1,0,2,2,2,1,0,1,0,1,2,0
is krachtig,is powerful,4,4,1,1,1,1,2,3,4,0,1,3,2,0,1,0,4,1,1,1,1
is krom,is bent,8,1,0,3,4,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1
is lang,is long,37,3,0,0,2,0,3,0,2,0,3,3,1,0,4,2,1,3,4,3,3
is langwerpig,is elongated,21,4,3,0,0,2,3,0,4,1,3,3,1,0,4,2,0,2,2,4,2
is middeleeuws,is mediaeval,25,0,2,0,3,2,0,0,2,1,2,0,0,3,2,2,1,2,0,3,1
is niet eetbaar,is not edible,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
is niet voor kinderen,is not for children,5,4,4,3,4,3,4,4,4,1,4,4,4,3,4,2,4,1,4,4,4
is niet zomaar te koop,is not easy to come by,4,4,0,3,2,3,4,4,4,0,2,4,4,2,2,0,4,0,4,2,0
is nuttig,is useful,6,0,4,0,1,0,0,0,0,0,0,0,0,1,2,2,1,4,0,0,1
is ovaal,is oval,6,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
is primitief,is primitive,4,0,4,1,4,2,0,0,1,4,4,0,0,2,4,3,0,3,1,0,1
is rond,is round,16,0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0
is scherp,is sharp,51,0,3,0,1,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
is smal,is narrow,8,1,2,2,4,3,2,0,0,0,2,1,0,1,3,4,0,2,2,4,4
is sterk,is strong,22,3,2,3,1,3,1,2,3,1,3,2,2,4,2,2,4,1,2,3,1
is te zien op tv,can be seen on television,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,2,4,3,4,3,3
is van de oertijd,is from the stone age,14,0,4,0,2,1,0,0,0,2,4,0,0,1,4,3,0,1,0,0,0
is van ijzer,is made of iron,44,2,3,3,0,4,3,1,4,0,0,3,3,2,2,0,4,0,2,4,0
is van leer,is made of leather,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
is van rubber,is made of rubber,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1
is verboden,is forbidden,8,3,0,2,0,1,1,3,3,0,0,1,1,0,0,0,2,0,1,0,0
